RC,File Name,Blksize,I-Period,Frame Index,PSNR
1,QCIF_y_only.yuv,16,4,13,34.527435101183656
1,QCIF_y_only.yuv,16,4,14,21.69976892606342
1,QCIF_y_only.yuv,16,4,15,30.589701841394614
1,QCIF_y_only.yuv,16,4,16,30.30564305081817
1,QCIF_y_only.yuv,16,4,17,30.640189712213434
1,QCIF_y_only.yuv,16,4,18,31.38403733847732
1,QCIF_y_only.yuv,16,4,19,31.860571975472354
1,QCIF_y_only.yuv,16,4,20,30.03490094770388
1,QCIF_y_only.yuv,16,21,0,30.421769443038972
1,QCIF_y_only.yuv,16,21,1,31.111082499672737
1,QCIF_y_only.yuv,16,21,2,30.861314372526437
1,QCIF_y_only.yuv,16,21,3,31.291045646476046
1,QCIF_y_only.yuv,16,21,4,31.455349203427232
1,QCIF_y_only.yuv,16,21,5,31.119797617511313
1,QCIF_y_only.yuv,16,21,6,31.736463045994423
1,QCIF_y_only.yuv,16,21,7,22.013708791835075
1,QCIF_y_only.yuv,16,21,8,32.22850066753525
1,QCIF_y_only.yuv,16,21,9,36.876933212329625
1,QCIF_y_only.yuv,16,21,10,40.66564471638859
1,QCIF_y_only.yuv,16,21,11,39.380647958486314
1,QCIF_y_only.yuv,16,21,12,41.280932609992284
1,QCIF_y_only.yuv,16,21,13,39.614514536946956
1,QCIF_y_only.yuv,16,21,14,22.018761770339047
1,QCIF_y_only.yuv,16,21,15,30.192855131291733
1,QCIF_y_only.yuv,16,21,16,30.458861235845
1,QCIF_y_only.yuv,16,21,17,31.124390477802407
1,QCIF_y_only.yuv,16,21,18,32.28628041218826
1,QCIF_y_only.yuv,16,21,19,31.425384636936545
1,QCIF_y_only.yuv,16,21,20,31.676537493896994
0,CIF_y_only.yuv,16,21,0,28.759896736855787
0,CIF_y_only.yuv,16,21,1,28.84623223487568
0,CIF_y_only.yuv,16,21,2,28.111288503380926
0,CIF_y_only.yuv,16,21,3,28.07365405824065
0,CIF_y_only.yuv,16,21,4,27.687752706990896
0,CIF_y_only.yuv,16,21,5,27.594365704415612
0,CIF_y_only.yuv,16,21,6,27.82786127832984
0,CIF_y_only.yuv,16,21,7,29.378292151245795
0,CIF_y_only.yuv,16,21,8,28.7557758677523
0,CIF_y_only.yuv,16,21,9,29.194886132067552
0,CIF_y_only.yuv,16,21,10,29.1449514573317
0,CIF_y_only.yuv,16,21,11,29.21441199047323
0,CIF_y_only.yuv,16,21,12,29.178561230435704
0,CIF_y_only.yuv,16,21,13,29.092395031795476
0,CIF_y_only.yuv,16,21,14,27.472648067148853
0,CIF_y_only.yuv,16,21,15,27.39247207346383
0,CIF_y_only.yuv,16,21,16,27.194595155169914
0,CIF_y_only.yuv,16,21,17,26.63000805067718
0,CIF_y_only.yuv,16,21,18,27.118310919389934
0,CIF_y_only.yuv,16,21,19,26.7130571293197
0,CIF_y_only.yuv,16,21,20,26.649712180258778
